en:Milne-Pu_zatisi:0:shuff:1,cs:Milne-Pu_zatisi:0:shuff:1,looking,look,hledat,hledat,impf
en:Milne-Pu_zatisi:0:shuff:1,cs:Milne-Pu_zatisi:0:shuff:1,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:4,cs:Milne-Pu_zatisi:0:shuff:4,wrote,write,sepsal,sepsat,pf
en:Milne-Pu_zatisi:0:shuff:8,cs:Milne-Pu_zatisi:0:shuff:8,find,find,Najít,najít,pf
en:Milne-Pu_zatisi:0:shuff:11,cs:Milne-Pu_zatisi:0:shuff:11,find,find,Zjistit,zjistit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,thought,think,myslelo,myslet,impf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,said,say,řeklo,říci,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:14,cs:Milne-Pu_zatisi:0:shuff:14,stood,stand,postavil,postavit,pf
en:Milne-Pu_zatisi:0:shuff:17,cs:Milne-Pu_zatisi:0:shuff:17,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:18,cs:Milne-Pu_zatisi:0:shuff:18,said,say,řeklo,říci,pf
en:Milne-Pu_zatisi:0:shuff:18,cs:Milne-Pu_zatisi:0:shuff:18,thought,think,myslelo,myslet,impf
en:Milne-Pu_zatisi:0:shuff:19,cs:Milne-Pu_zatisi:0:shuff:19,mentioned,mention,zmínil,zmínit,pf
en:Milne-Pu_zatisi:0:shuff:19,cs:Milne-Pu_zatisi:0:shuff:19,talked,talk,mluvilo,mluvit,impf
en:Milne-Pu_zatisi:0:shuff:20,cs:Milne-Pu_zatisi:0:shuff:20,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:20,cs:Milne-Pu_zatisi:0:shuff:20,looked,look,díval,dívat,impf
en:Milne-Pu_zatisi:0:shuff:22,cs:Milne-Pu_zatisi:0:shuff:22,do,do,jít,jít,impf
en:Milne-Pu_zatisi:0:shuff:22,cs:Milne-Pu_zatisi:0:shuff:22,go,go,jít,jít,impf
en:Milne-Pu_zatisi:0:shuff:22,cs:Milne-Pu_zatisi:0:shuff:22,find,find,našly,najít,pf
en:Milne-Pu_zatisi:0:shuff:24,cs:Milne-Pu_zatisi:0:shuff:24,Come,come,Pojď,jít,impf
en:Milne-Pu_zatisi:0:shuff:24,cs:Milne-Pu_zatisi:0:shuff:24,cried,cry,zvolal,zvolat,pf
en:Milne-Pu_zatisi:0:shuff:25,cs:Milne-Pu_zatisi:0:shuff:25,go,go,Půjdeme,jít,impf
en:Milne-Pu_zatisi:0:shuff:26,cs:Milne-Pu_zatisi:0:shuff:26,said,say,řekla,říci,pf
en:Milne-Pu_zatisi:0:shuff:26,cs:Milne-Pu_zatisi:0:shuff:26,picking,pick,sebrala,sebrat,pf
en:Milne-Pu_zatisi:0:shuff:27,cs:Milne-Pu_zatisi:0:shuff:27,waved,wave,mával,mávat,impf
en:Milne-Pu_zatisi:0:shuff:28,cs:Milne-Pu_zatisi:0:shuff:28,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:29,cs:Milne-Pu_zatisi:0:shuff:29,likes,like,chceš,chtít,impf
en:Milne-Pu_zatisi:0:shuff:29,cs:Milne-Pu_zatisi:0:shuff:29,likes,like,chci,chtít,impf
en:Milne-Pu_zatisi:0:shuff:30,cs:Milne-Pu_zatisi:0:shuff:30,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:30,cs:Milne-Pu_zatisi:0:shuff:30,plant,plant,zasadil,zasadit,pf
en:Milne-Pu_zatisi:0:shuff:30,cs:Milne-Pu_zatisi:0:shuff:30,grow,grow,vyrostl,vyrůst,pf
en:Milne-Pu_zatisi:0:shuff:32,cs:Milne-Pu_zatisi:0:shuff:32,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:35,cs:Milne-Pu_zatisi:0:shuff:35,agreed,agree,souhlasilo,souhlasit,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,met,meet,setkávali,setkávat,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,see,see,setkávali,setkávat,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,seen,see,setkávali,setkávat,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,go,go,šli,jít,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,do,do,šli,jít,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,see,see,navštívit,navštívit,pf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,do,do,navštívit,navštívit,pf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,seen,see,navštívit,navštívit,pf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,sit,sit,posadili,posadit,pf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,wonder,wonder,přemýšleli,přemýšlet,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,go,go,dělat,dělat,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,do,do,dělat,dělat,impf
en:Milne-Pu_zatisi:0:shuff:36,cs:Milne-Pu_zatisi:0:shuff:36,met,meet,sešli,sejít,pf
en:Milne-Pu_zatisi:0:shuff:37,cs:Milne-Pu_zatisi:0:shuff:37,decided,decide,rozhodli,rozhodnout,pf
en:Milne-Pu_zatisi:0:shuff:37,cs:Milne-Pu_zatisi:0:shuff:37,do,do,dělat,dělat,impf
en:Milne-Pu_zatisi:0:shuff:37,cs:Milne-Pu_zatisi:0:shuff:37,made,make,dělat,dělat,impf
en:Milne-Pu_zatisi:0:shuff:43,cs:Milne-Pu_zatisi:0:shuff:43,said,say,řekl,říci,pf
en:Milne-Pu_zatisi:0:shuff:46,cs:Milne-Pu_zatisi:0:shuff:46,got,get,přišli,přijít,pf
