en:Lorenz-Takzvane_zlo:0:shuff:1,cs:Lorenz-Takzvane_zlo:0:shuff:1,lost,lose,ztratil,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:4,cs:Lorenz-Takzvane_zlo:0:shuff:5,conducted,conduct,provedl,provést,pf
en:Lorenz-Takzvane_zlo:0:shuff:4,cs:Lorenz-Takzvane_zlo:0:shuff:5,offers,offer,nabízí,nabízet,impf
en:Lorenz-Takzvane_zlo:0:shuff:5,cs:Lorenz-Takzvane_zlo:0:shuff:6,performed,perform,provádí,provádět,impf
en:Lorenz-Takzvane_zlo:0:shuff:9,cs:Lorenz-Takzvane_zlo:0:shuff:7,thinking,think,přemýšlí,přemýšlet,impf
en:Lorenz-Takzvane_zlo:0:shuff:9,cs:Lorenz-Takzvane_zlo:0:shuff:7,thinking,think,má,mít,impf
en:Lorenz-Takzvane_zlo:0:shuff:10,cs:Lorenz-Takzvane_zlo:0:shuff:9,developed,develop,vyvinulo,vyvinout,pf
en:Lorenz-Takzvane_zlo:0:shuff:10,cs:Lorenz-Takzvane_zlo:0:shuff:9,accompanies,accompany,provází,provázet,impf
en:Lorenz-Takzvane_zlo:0:shuff:13,cs:Lorenz-Takzvane_zlo:0:shuff:12,imitate,imitate,napodobíte,napodobit,pf
en:Lorenz-Takzvane_zlo:0:shuff:13,cs:Lorenz-Takzvane_zlo:0:shuff:12,letting,let,necháte,nechat,pf
en:Lorenz-Takzvane_zlo:0:shuff:13,cs:Lorenz-Takzvane_zlo:0:shuff:12,grow,grow,vyrůstat,vyrůstat,impf
en:Lorenz-Takzvane_zlo:0:shuff:16,cs:Lorenz-Takzvane_zlo:0:shuff:16,caused,cause,vyvoláno,vyvolat,pf
en:Lorenz-Takzvane_zlo:0:shuff:21,cs:Lorenz-Takzvane_zlo:0:shuff:20,lose,lose,ztratil,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:22,cs:Lorenz-Takzvane_zlo:0:shuff:21,express,express,vyjádřit,vyjádřit,pf
en:Lorenz-Takzvane_zlo:0:shuff:23,cs:Lorenz-Takzvane_zlo:0:shuff:22,fill,fill,naplňují,naplňovat,impf
en:Lorenz-Takzvane_zlo:0:shuff:28,cs:Lorenz-Takzvane_zlo:0:shuff:27,learned,learn,naučili,naučit,pf
en:Lorenz-Takzvane_zlo:0:shuff:28,cs:Lorenz-Takzvane_zlo:0:shuff:27,differentiate,differentiate,rozlišovat,rozlišovat,impf
en:Lorenz-Takzvane_zlo:0:shuff:28,cs:Lorenz-Takzvane_zlo:0:shuff:27,predict,predict,předpovídat,předpovídat,impf
en:Lorenz-Takzvane_zlo:0:shuff:30,cs:Lorenz-Takzvane_zlo:0:shuff:31,hold,hold,drží,držet,impf
en:Lorenz-Takzvane_zlo:0:shuff:31,cs:Lorenz-Takzvane_zlo:0:shuff:32,loses,lose,Ztratí,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:31,cs:Lorenz-Takzvane_zlo:0:shuff:32,loses,lose,Ztratí,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:31,cs:Lorenz-Takzvane_zlo:0:shuff:32,lost,lose,Ztratí,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:31,cs:Lorenz-Takzvane_zlo:0:shuff:32,loses,lose,ztratí,ztratit,pf
en:Lorenz-Takzvane_zlo:0:shuff:31,cs:Lorenz-Takzvane_zlo:0:shuff:32,loses,lose,ztratí,ztratit,pf
