en:searle-mysl_mozek_veda:0:shuff:3,cs:searle-mysl_mozek_veda:0:shuff:3,remove,remove,odstranit,odstranit,pf
en:searle-mysl_mozek_veda:0:shuff:6,cs:searle-mysl_mozek_veda:0:shuff:6,said,say,říká,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:6,cs:searle-mysl_mozek_veda:0:shuff:6,said,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:10,cs:searle-mysl_mozek_veda:0:shuff:11,produced,produce,vytvářejí,vytvářet,impf
en:searle-mysl_mozek_veda:0:shuff:19,cs:searle-mysl_mozek_veda:0:shuff:21,did,do,udělali,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:19,cs:searle-mysl_mozek_veda:0:shuff:21,done,do,udělali,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:19,cs:searle-mysl_mozek_veda:0:shuff:21,feel,feel,cítíme,cítit,impf
en:searle-mysl_mozek_veda:0:shuff:19,cs:searle-mysl_mozek_veda:0:shuff:21,did,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:19,cs:searle-mysl_mozek_veda:0:shuff:21,done,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:20,cs:searle-mysl_mozek_veda:0:shuff:22,chose,choose,rozhodli,rozhodnout,pf
en:searle-mysl_mozek_veda:0:shuff:21,cs:searle-mysl_mozek_veda:0:shuff:23,choosing,choose,rozhodnout,rozhodnout,pf
en:searle-mysl_mozek_veda:0:shuff:21,cs:searle-mysl_mozek_veda:0:shuff:23,chosen,choose,rozhodnout,rozhodnout,pf
en:searle-mysl_mozek_veda:0:shuff:25,cs:searle-mysl_mozek_veda:0:shuff:27,Understanding,understand,Porozumět,porozumět,pf
en:searle-mysl_mozek_veda:0:shuff:31,cs:searle-mysl_mozek_veda:0:shuff:34,suppose,suppose,předpokládáme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:36,cs:searle-mysl_mozek_veda:0:shuff:39,object,object,namítnout,namítnout,pf
en:searle-mysl_mozek_veda:0:shuff:37,cs:searle-mysl_mozek_veda:0:shuff:40,need,need,musí,muset,impf
en:searle-mysl_mozek_veda:0:shuff:39,cs:searle-mysl_mozek_veda:0:shuff:42,try,try,pokusme,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:39,cs:searle-mysl_mozek_veda:0:shuff:42,describe,describe,popsat,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:42,cs:searle-mysl_mozek_veda:0:shuff:46,carried,carry,má,mít,impf
en:searle-mysl_mozek_veda:0:shuff:42,cs:searle-mysl_mozek_veda:0:shuff:46,carried,carry,má,mít,impf
en:searle-mysl_mozek_veda:0:shuff:42,cs:searle-mysl_mozek_veda:0:shuff:46,match,match,odpovídají,odpovídat,impf
en:searle-mysl_mozek_veda:0:shuff:42,cs:searle-mysl_mozek_veda:0:shuff:46,fulfilled,fulfill,splněna,splnit,pf
en:searle-mysl_mozek_veda:0:shuff:42,cs:searle-mysl_mozek_veda:0:shuff:46,frustrated,frustrate,zklamána,zklamat,pf
en:searle-mysl_mozek_veda:0:shuff:44,cs:searle-mysl_mozek_veda:0:shuff:48,think,think,nemá,mít,impf
en:searle-mysl_mozek_veda:0:shuff:44,cs:searle-mysl_mozek_veda:0:shuff:48,thinking,think,nemá,mít,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,připouštějí,připouštět,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,připouštějí,připouštět,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,nepřipouštějí,připouštět,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,nepřipouštějí,připouštět,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,dovoluje,dovolovat,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,allow,allow,dovoluje,dovolovat,impf
en:searle-mysl_mozek_veda:0:shuff:47,cs:searle-mysl_mozek_veda:0:shuff:51,permit,permit,dovoluje,dovolovat,impf
en:searle-mysl_mozek_veda:0:shuff:48,cs:searle-mysl_mozek_veda:0:shuff:52,studied,study,zkoumají,zkoumat,impf
en:searle-mysl_mozek_veda:0:shuff:49,cs:searle-mysl_mozek_veda:0:shuff:53,call,call,upozornil,upozornit,pf
en:searle-mysl_mozek_veda:0:shuff:50,cs:searle-mysl_mozek_veda:0:shuff:54,explaining,explain,vysvětluje,vysvětlovat,impf
en:searle-mysl_mozek_veda:0:shuff:50,cs:searle-mysl_mozek_veda:0:shuff:54,showing,show,ukáže,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:51,cs:searle-mysl_mozek_veda:0:shuff:55,speak,speak,mluvit,mluvit,impf
en:searle-mysl_mozek_veda:0:shuff:51,cs:searle-mysl_mozek_veda:0:shuff:55,following,follow,řídil,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:53,cs:searle-mysl_mozek_veda:0:shuff:57,use,use,užívá,užívat,impf
en:searle-mysl_mozek_veda:0:shuff:54,cs:searle-mysl_mozek_veda:0:shuff:58,take,take,vezme,vzít,pf
en:searle-mysl_mozek_veda:0:shuff:54,cs:searle-mysl_mozek_veda:0:shuff:58,use,use,užije,užít,pf
en:searle-mysl_mozek_veda:0:shuff:55,cs:searle-mysl_mozek_veda:0:shuff:59,see,see,vidím,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:55,cs:searle-mysl_mozek_veda:0:shuff:59,see,see,vidím,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:55,cs:searle-mysl_mozek_veda:0:shuff:59,see,see,vidíte,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:55,cs:searle-mysl_mozek_veda:0:shuff:59,see,see,vidíte,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:57,cs:searle-mysl_mozek_veda:0:shuff:61,think,think,předpokládáme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:57,cs:searle-mysl_mozek_veda:0:shuff:61,think,think,předpokládáme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:59,cs:searle-mysl_mozek_veda:0:shuff:63,supposing,suppose,předpokládáme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:59,cs:searle-mysl_mozek_veda:0:shuff:63,caused,cause,způsobeny,způsobit,pf
