en:kundera-zert:0:shuff:6,cs:kundera-zert:0:shuff:6,spread,spread,šířily,šířit,impf
en:kundera-zert:0:shuff:16,cs:kundera-zert:0:shuff:19,turned,turn,obrátil,obrátit,pf
en:kundera-zert:0:shuff:16,cs:kundera-zert:0:shuff:19,called,call,zavolal,zavolat,pf
en:kundera-zert:0:shuff:19,cs:kundera-zert:0:shuff:22,continued,continue,pokračoval,pokračovat,impf
en:kundera-zert:0:shuff:23,cs:kundera-zert:0:shuff:25,took,take,udělal,udělat,pf
en:kundera-zert:0:shuff:24,cs:kundera-zert:0:shuff:26,want,want,Přál,přát,impf
en:kundera-zert:0:shuff:25,cs:kundera-zert:0:shuff:27,said,say,řekl,říci,pf
en:kundera-zert:0:shuff:26,cs:kundera-zert:0:shuff:28,replied,reply,odvětil,odvětit,pf
en:kundera-zert:0:shuff:29,cs:kundera-zert:0:shuff:30,turned,turn,Otočil,otočit,pf
en:kundera-zert:0:shuff:30,cs:kundera-zert:0:shuff:31,climbed,climb,stoupali,stoupat,impf
en:kundera-zert:0:shuff:30,cs:kundera-zert:0:shuff:31,went,go,nefungoval,fungovat,impf
en:kundera-zert:0:shuff:30,cs:kundera-zert:0:shuff:31,saw,see,uviděl,uvidět,pf
en:kundera-zert:0:shuff:32,cs:kundera-zert:0:shuff:34,praised,praise,Pochválil,pochválit,pf
en:kundera-zert:0:shuff:33,cs:kundera-zert:0:shuff:35,remains,remain,zůstává,zůstávat,impf
en:kundera-zert:0:shuff:37,cs:kundera-zert:0:shuff:38,replied,reply,odpověděl,odpovědět,pf
en:kundera-zert:0:shuff:38,cs:kundera-zert:0:shuff:39,need,need,Nepotřebuji,potřebovat,impf
en:kundera-zert:0:shuff:38,cs:kundera-zert:0:shuff:39,need,need,Nepotřebuji,potřebovat,impf
en:kundera-zert:0:shuff:38,cs:kundera-zert:0:shuff:39,said,say,řekl,říci,pf
en:kundera-zert:0:shuff:38,cs:kundera-zert:0:shuff:39,went,go,pokračoval,pokračovat,impf
en:kundera-zert:0:shuff:40,cs:kundera-zert:0:shuff:44,say,say,říci,říci,pf
en:kundera-zert:0:shuff:40,cs:kundera-zert:0:shuff:44,lost,lose,ztratil,ztratit,pf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,myslit,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,think,think,myslit,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,myslit,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,kept,keep,má,mít,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,má,mít,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,think,think,má,mít,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,má,mít,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,think,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,think,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,thinking,think,nemyslila,myslit,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,imagined,imagine,představila,představit,pf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,wanted,want,chtělo,chtít,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,laugh,laugh,smát,smát,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,laugh,laugh,smát,smát,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,going,go,začala,začít,pf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,begin,begin,začala,začít,pf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,laugh,laugh,smát,smát,impf
en:kundera-zert:0:shuff:41,cs:kundera-zert:0:shuff:45,laugh,laugh,smát,smát,impf
en:kundera-zert:0:shuff:42,cs:kundera-zert:0:shuff:46,lose,lose,ztratila,ztratit,pf
en:kundera-zert:0:shuff:42,cs:kundera-zert:0:shuff:46,returned,return,vrátila,vrátit,pf
en:kundera-zert:0:shuff:42,cs:kundera-zert:0:shuff:46,see,see,vidět,vidět,impf
en:kundera-zert:0:shuff:43,cs:kundera-zert:0:shuff:47,think,think,Myslíš,myslet,impf
en:kundera-zert:0:shuff:43,cs:kundera-zert:0:shuff:47,built,build,vybudovat,vybudovat,pf
en:kundera-zert:0:shuff:43,cs:kundera-zert:0:shuff:47,asked,ask,zeptal,zeptat,pf
en:kundera-zert:0:shuff:44,cs:kundera-zert:0:shuff:48,said,say,řekl,říci,pf
