en:McEwan_Na-Chesilske:0:shuff:2,cs:McEwan_Na-Chesilske:0:shuff:2,froze,freeze,ztuhla,ztuhnout,pf
en:McEwan_Na-Chesilske:0:shuff:4,cs:McEwan_Na-Chesilske:0:shuff:4,helped,help,pomohlo,pomoci,pf
en:McEwan_Na-Chesilske:0:shuff:4,cs:McEwan_Na-Chesilske:0:shuff:4,turn,turn,otočit,otočit,pf
en:McEwan_Na-Chesilske:0:shuff:4,cs:McEwan_Na-Chesilske:0:shuff:4,move,move,přesunout,přesunout,pf
en:McEwan_Na-Chesilske:0:shuff:8,cs:McEwan_Na-Chesilske:0:shuff:8,remembering,remember,vzpomněla,vzpomenout,pf
en:McEwan_Na-Chesilske:0:shuff:8,cs:McEwan_Na-Chesilske:0:shuff:8,advised,advise,radila,radit,impf
en:McEwan_Na-Chesilske:0:shuff:8,cs:McEwan_Na-Chesilske:0:shuff:8,guide,guide,zavedla,zavést,pf
en:McEwan_Na-Chesilske:0:shuff:9,cs:McEwan_Na-Chesilske:0:shuff:9,worked,work,nefungovaly,fungovat,impf
en:McEwan_Na-Chesilske:0:shuff:9,cs:McEwan_Na-Chesilske:0:shuff:9,go,go,nefungovaly,fungovat,impf
en:McEwan_Na-Chesilske:0:shuff:9,cs:McEwan_Na-Chesilske:0:shuff:9,hurtled,hurtle,řítil,řítit,impf
en:McEwan_Na-Chesilske:0:shuff:9,cs:McEwan_Na-Chesilske:0:shuff:9,go,go,pojede,jet,impf
en:McEwan_Na-Chesilske:0:shuff:10,cs:McEwan_Na-Chesilske:0:shuff:10,arrived,arrive,dorazil,dorazit,pf
en:McEwan_Na-Chesilske:0:shuff:11,cs:McEwan_Na-Chesilske:0:shuff:11,agreed,agree,Souhlasila,souhlasit,impf
en:McEwan_Na-Chesilske:0:shuff:11,cs:McEwan_Na-Chesilske:0:shuff:11,do,do,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:11,cs:McEwan_Na-Chesilske:0:shuff:11,done,do,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:12,cs:McEwan_Na-Chesilske:0:shuff:12,sign,sign,podepsali,podepsat,pf
en:McEwan_Na-Chesilske:0:shuff:13,cs:McEwan_Na-Chesilske:0:shuff:13,haunt,haunt,pronásledovat,pronásledovat,impf
en:McEwan_Na-Chesilske:0:shuff:14,cs:McEwan_Na-Chesilske:0:shuff:14,demanded,demand,žádali,žádat,impf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,contain,contain,ovládnout,ovládnout,pf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,hold,hold,udržet,udržet,pf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,failed,fail,selhal,selhat,pf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,refused,refuse,odmítal,odmítat,impf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,hold,hold,nést,nést,impf
en:McEwan_Na-Chesilske:0:shuff:15,cs:McEwan_Na-Chesilske:0:shuff:15,take,take,nést,nést,impf
en:McEwan_Na-Chesilske:0:shuff:17,cs:McEwan_Na-Chesilske:0:shuff:17,rejected,reject,Odmítal,odmítat,impf
en:McEwan_Na-Chesilske:0:shuff:17,cs:McEwan_Na-Chesilske:0:shuff:17,recognise,recognise,neuznával,uznávat,impf
en:McEwan_Na-Chesilske:0:shuff:18,cs:McEwan_Na-Chesilske:0:shuff:18,cry,cry,vykřiknout,vykřiknout,pf
en:McEwan_Na-Chesilske:0:shuff:19,cs:McEwan_Na-Chesilske:0:shuff:19,gave,give,vydal,vydat,pf
en:McEwan_Na-Chesilske:0:shuff:19,cs:McEwan_Na-Chesilske:0:shuff:19,heard,hear,slyšela,slyšet,impf
en:McEwan_Na-Chesilske:0:shuff:19,cs:McEwan_Na-Chesilske:0:shuff:19,drop,drop,upustit,upustit,pf
en:McEwan_Na-Chesilske:0:shuff:20,cs:McEwan_Na-Chesilske:0:shuff:20,brought,bring,přinést,přinést,pf
en:McEwan_Na-Chesilske:0:shuff:20,cs:McEwan_Na-Chesilske:0:shuff:20,keep,keep,udržovat,udržovat,impf
en:McEwan_Na-Chesilske:0:shuff:20,cs:McEwan_Na-Chesilske:0:shuff:20,keep,keep,udržovat,udržovat,impf
en:McEwan_Na-Chesilske:0:shuff:20,cs:McEwan_Na-Chesilske:0:shuff:20,found,find,najít,najít,pf
en:McEwan_Na-Chesilske:0:shuff:21,cs:McEwan_Na-Chesilske:0:shuff:21,required,require,vyžadovalo,vyžadovat,impf
en:McEwan_Na-Chesilske:0:shuff:24,cs:McEwan_Na-Chesilske:0:shuff:24,arranged,arrange,zařídil,zařídit,pf
en:McEwan_Na-Chesilske:0:shuff:26,cs:McEwan_Na-Chesilske:0:shuff:26,suggested,suggest,navrhla,navrhnout,pf
en:McEwan_Na-Chesilske:0:shuff:29,cs:McEwan_Na-Chesilske:0:shuff:29,want,want,nechtěla,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:29,cs:McEwan_Na-Chesilske:0:shuff:29,entered,enter,vstupoval,vstupovat,impf
en:McEwan_Na-Chesilske:0:shuff:29,cs:McEwan_Na-Chesilske:0:shuff:29,penetrated,penetrate,vstupoval,vstupovat,impf
en:McEwan_Na-Chesilske:0:shuff:30,cs:McEwan_Na-Chesilske:0:shuff:30,pay,pay,zaplatit,zaplatit,pf
en:McEwan_Na-Chesilske:0:shuff:31,cs:McEwan_Na-Chesilske:0:shuff:31,played,play,hrála,hrát,impf
en:McEwan_Na-Chesilske:0:shuff:32,cs:McEwan_Na-Chesilske:0:shuff:32,sound,sound,znít,znít,impf
en:McEwan_Na-Chesilske:0:shuff:33,cs:McEwan_Na-Chesilske:0:shuff:33,get,get,pochopit,pochopit,pf
en:McEwan_Na-Chesilske:0:shuff:33,cs:McEwan_Na-Chesilske:0:shuff:33,thought,think,považovala,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:34,cs:McEwan_Na-Chesilske:0:shuff:34,needed,need,Potřebovala,potřebovat,impf
en:McEwan_Na-Chesilske:0:shuff:35,cs:McEwan_Na-Chesilske:0:shuff:35,begin,begin,začít,začít,pf
en:McEwan_Na-Chesilske:0:shuff:36,cs:McEwan_Na-Chesilske:0:shuff:36,dressed,dress,oblékal,oblékat,impf
en:McEwan_Na-Chesilske:0:shuff:39,cs:McEwan_Na-Chesilske:0:shuff:39,outshone,outshine,zastínil,zastínit,pf
en:McEwan_Na-Chesilske:0:shuff:40,cs:McEwan_Na-Chesilske:0:shuff:40,kissed,kiss,Políbil,políbit,pf
en:McEwan_Na-Chesilske:0:shuff:40,cs:McEwan_Na-Chesilske:0:shuff:40,stood,stand,postavil,postavit,pf
en:McEwan_Na-Chesilske:0:shuff:40,cs:McEwan_Na-Chesilske:0:shuff:40,vowed,vow,přísahal,přísahat,impf
en:McEwan_Na-Chesilske:0:shuff:41,cs:McEwan_Na-Chesilske:0:shuff:41,began,begin,začala,začít,pf
